item-sort,item-num,type,metal,style,size,attr1,attr2,side1lang,side1symb,side2lang,side2symb,label,customer-num,batch-num,order-num
C2S,C2S-L,Cartouche,Silver,,Lg,2 sided,,Hiero,SHON,English,SHON,SHON,SIG,D55,7
C2S,C2S-L,Cartouche,Silver,,Lg,2 sided,,Hiero,OLIVIA,Hiero,LOVE,OLIVIA,SIG,D55,11
CGOA,CGOA,Cartouche,18k,Open,,,,Hiero,LIANG,,,LIANG,SIG,D55,G04947180001
CGOA,CGOA,Cartouche,18k,Open,,,,Hiero,LOVE,,,LOVE,SIG,D55,P84634040001
CGOA,CGOA,Cartouche,18k,Open,,,,Hiero,MAUR88N,,,MAUREEN,SIG,D55,P84645770001
CGOA,CGOA,Cartouche,18k,Open,,,,Hiero,NALSON,,,NALSON,SIG,D55,P84681900001
CGOA,CGOA,Cartouche,18k,Open,,,,Hiero,LOVEJHS,,,LOVE JHS,SIG,D55,P84732270001
CSBG,CSBGM-MC,Cartouche,18k,,Med,Stone Back,Malachite,Hiero,$LM<,,,EYE LM HLH,SIG,D55,3
CSO,CSOL,Cartouche,Silver,Open,Lg,,,Hiero,TAMMI,,,TAMMI,SIG,D55,3
CSO,CSOL,Cartouche,Silver,Open,Lg,,,Hiero,JEFFERY,,,JEFFERY,SIG,D55,13
CSO,CSOM,Cartouche,Silver,Open,Med,,,Hiero,MAIA,,,MAIA,SIG,D55,1
CSO,CSOM,Cartouche,Silver,Open,Med,,,Hiero,CASTA,,,CASTA,SIG,D55,1
CSO,CSOM,Cartouche,Silver,Open,Med,,,Hiero,SU(E,,,SUZIE,SIG,D55,9
CSO,CSOM,Cartouche,Silver,Open,Med,,,Hiero,FLOSS,,,FLOSS,SIG,D55,2
CSO,CSOM,Cartouche,Silver,Open,Med,,,Hiero,SANDY,,,SANDY,SIG,D55,2
CSO,CSOM,Cartouche,Silver,Open,Med,,,Hiero,4URG0N,,,MORGAN,SIG,D55,2
CSO,CSOM-Z,Cartouche,Silver,Open,Med,,,Hiero,,,,CAROLYN,SIG,D55,J82545390001
CSO,CSOS,Cartouche,Silver,Open,Sm,,,Hiero,PAM,,,PAM,SIG,D55,1
CSO,CSOS,Cartouche,Silver,Open,Sm,,,Hiero,ANN,,,ANN,SIG,D55,2
CSO,CSOS,Cartouche,Silver,Open,Sm,,,Hiero,T8RE,,,TERI,SIG,D55,2
CSO,CSOS,Cartouche,Silver,Open,Sm,,,Hiero,AMY,,,AMY,SIG,D55,2
CSOA,CSOA,Cartouche,Silver,Open,,,,Hiero,M0RL88NA,,,MARLEENA,SIG,D55,J82432340001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,ELYETT,,,ELYETT,SIG,D55,P84644650101
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,NYCOLAS,,,NYCOLAS,SIG,D55,P84644650102
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,#EYENNA,,,CHEYENNA,SIG,D55,H36341040001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,ALISE,,,ALICE,SIG,D55,H36341210001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,MOTHER,,,MOTHER,SIG,D55,H36342330001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,TEMPEST,,,TEMPEST,SIG,D55,P84647610001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,NEA,,,NIA,SIG,D55,P84647610002
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,PAULA,,,PAULA,SIG,D55,P84648840001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,MAUR88N,,,MAUREEN,SIG,D55,P84645770002
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,KATE,,,KATE,SIG,D55,R10115890001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,MERED8!,,,MEREDITH,SIG,D55,H36389200001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,#ELLEY,,,SHELLEY,SIG,D55,H36389200002
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,JOHNNYE,,,JOHNNYE,SIG,D55,H36357960001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,AMANDA,,,AMANDA,SIG,D55,H36357960002
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,AV0[LLI,,,AVABELLE,SIG,D55,H36363440001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,LYNNE,,,LYNNE,SIG,D55,P84662300001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,M8RANDA,,,MIRANDA,SIG,D55,P84664760001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,RAMSES,,,RAMSES,SIG,D55,P84658490001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,ANNIKA,,,ANNIKA,SIG,D55,P84665800001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,LAUREN,,,LAUREN,SIG,D55,P84665800002
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,R8LEY,,,RILEY,SIG,D55,P84665830001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,SOPHIE,,,SOPHIE,SIG,D55,R10118630001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,CHELSEA,,,CHELSEA,SIG,D55,R10119400101
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,NASERI,,,NASERI,SIG,D55,R10120510001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,SUSANNE,,,SUSANNE,SIG,D55,R10121300101
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,MAR8LYN,,,MARILYN,SIG,D55,G04955320001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,OLIVE,,,OLIVE,SIG,D55,H36381570001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,SENTHYA,,,CYNTHIA,SIG,D55,P84678900001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,MOLLY,,,MOLLY,SIG,D55,P84685970001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,RACHEL,,,RACHEL,SIG,D55,P84685970002
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,BRIDGET,,,BRIDGET,SIG,D55,P84685970003
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,MARY,,,MARY,SIG,D55,R10122810001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,IM0G8NE,,,IMAGINE,SIG,D55,H36394350001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,OLIVIA,,,OLIVIA,SIG,D55,P84694870001
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,SUSAN,,,SUSAN,SIG,D55,R10125800101
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,ALYSSA,,,ALYSSA,SIG,D55,R10126090101
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,JACOB,,,JACOB,SIG,D55,R10126090102
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,KRISTIN,,,KRISTIN,SIG,D55,R10126090103
CSOA,CSOA-18,Cartouche,Silver,Open,,,,Hiero,RACHEL,,,RACHEL,SIG,D55,R10126340001
